Bill Credits ID,Date,Amount (BCY),Created Time,Amount (FCY),Last Modified Time
4198696000019794074,11 Mar 2025,"CRC 16,588.09",2025-03-14 09:50:56,"CRC 16,588.09",2025-03-14 09:50:56
4198696000019794362,10 Mar 2025,"CRC 4,562.38",2025-03-14 10:44:43,"CRC 4,562.38",2025-03-14 10:44:43
4198696000019794376,11 Mar 2025,"CRC 5,666.95",2025-03-14 10:45:05,"CRC 5,666.95",2025-03-14 10:45:05
4198696000019794334,12 Mar 2025,"CRC 270,345.71",2025-03-14 10:39:09,"CRC 270,345.71",2025-03-14 10:39:09
4198696000019794400,11 Mar 2025,"CRC 83,827.87",2025-03-14 11:24:10,"CRC 83,827.87",2025-03-14 11:24:10
4198696000019794414,11 Mar 2025,"CRC 76,039.26",2025-03-14 11:24:47,"CRC 76,039.26",2025-03-14 11:24:47
4198696000019794464,10 Mar 2025,"CRC 31,409.95",2025-03-14 11:41:45,"CRC 31,409.95",2025-03-14 11:41:45
4198696000019794462,07 Mar 2025,"CRC 47,667.28",2025-03-14 11:41:45,"CRC 47,667.28",2025-03-14 11:41:45
4198696000019794428,10 Mar 2025,"CRC 68,242.86",2025-03-14 11:25:20,"CRC 68,242.86",2025-03-14 11:25:20
4198696000019794442,13 Mar 2025,"CRC 633,777.12",2025-03-14 11:26:02,"CRC 633,777.12",2025-03-14 11:26:02
4198696000019889483,24 Feb 2025,"CRC 9,297.64",2025-03-18 17:36:37,"CRC 9,297.64",2025-03-18 17:36:37
4198696000019889441,14 Mar 2025,"CRC 39,550.00",2025-03-18 17:31:15,"CRC 39,550.00",2025-03-18 17:31:15
4198696000019889455,17 Mar 2025,"CRC 82,448.73",2025-03-18 17:35:16,"CRC 82,448.73",2025-03-18 17:35:16
4198696000019987042,14 Mar 2025,"CRC 2,639.62",2025-03-19 09:15:25,"CRC 2,639.62",2025-03-19 09:15:25
4198696000019987064,14 Mar 2025,"CRC 24,331.72",2025-03-19 09:15:54,"CRC 24,331.72",2025-03-19 09:15:54
4198696000020083781,12 Mar 2025,"CRC 15,363.48",2025-03-20 14:34:41,"CRC 15,363.48",2025-03-20 14:34:41
4198696000020083803,19 Mar 2025,"CRC 87,688.00",2025-03-20 14:35:18,"CRC 87,688.00",2025-03-20 14:35:18
4198696000020083825,19 Mar 2025,"CRC 35,256.00",2025-03-20 14:35:46,"CRC 35,256.00",2025-03-20 14:35:46
4198696000020382781,21 Mar 2025,"CRC 10,396.00",2025-03-27 19:21:06,"CRC 10,396.00",2025-03-27 19:21:06
4198696000020382803,27 Mar 2025,"CRC 33,239.15",2025-03-27 19:30:57,"CRC 33,239.15",2025-03-27 19:30:57
4198696000020382847,26 Mar 2025,"CRC 7,051.20",2025-03-27 19:31:52,"CRC 7,051.20",2025-03-27 19:31:52
4198696000020382759,26 Mar 2025,"CRC 3,528.88",2025-03-27 18:37:21,"CRC 3,528.88",2025-03-27 18:37:21
4198696000020564258,31 Mar 2025,"CRC 19,756.24",2025-04-01 11:00:58,"CRC 19,756.24",2025-04-01 11:00:58
4198696000020564236,31 Mar 2025,"CRC 20,136.60",2025-04-01 11:00:29,"CRC 20,136.60",2025-04-01 11:00:29
4198696000020618046,27 Mar 2025,"CRC 19,017.90",2025-03-31 13:11:31,"CRC 19,017.90",2025-03-31 13:11:31
4198696000020618303,26 Mar 2025,"CRC 45,459.90",2025-03-31 13:17:27,"CRC 45,459.90",2025-03-31 13:17:27
