SKU,Product_ID,Sales_24M_Qty,Sales_24M_Net,Avg_Demand_Used,Avg_Demand_6M,Outstanding_Qty,Last_Purchase_Date,Last_Purchase_Price,On_Hand_Qty,On_Hand_Source,Coverage_Months,On_Hand_Value_LastCost,Reorder_Eligibility,Reorder_Flag,Stock_Shortfall,Months_Short
,4198696000019220158,1,14070.8,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000021131168,10,3097.35,10,,,,,,,,,ELIGIBLE,1,10,1
,4198696000012467715,1,79646.02,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000020433244,2,557.52,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000032361528,2,15973.45,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000003508672,1,13185.84,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000032008514,1,25398.23,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000012814717,1,10176.99,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000032361086,2,20900,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000019163214,1,3716.81,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000003754480,1,5221.24,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000019574316,1,34513.27,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000025356360,1,52212.39,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000012157192,2,7610.62,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000022311066,2,569.91,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000023931006,2,7164.6,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000012442751,1,61504.42,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000015780010,1,30449.56,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000033403918,2,36460,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000011239774,1,21681.42,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000021606024,1,37168.14,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000031795063,1,103153.98,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000027872731,2,1327.43,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000014902115,1,9646.02,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000028536372,1,11013.27,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000031193218,1,61631.86,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000005269393,1,9469.03,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000026118526,1,9769.91,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000020236155,1,57522.12,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000008784255,1,5132.74,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000024043188,1,34247.79,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000024335330,10,1769.91,10,,,,,,,,,ELIGIBLE,1,10,1
