b.Product_ID,i.InQty,o.OutQty,On_Hand_Qty
4198696000003976036,14,5,9
4198696000003953000,3,1,2
4198696000004655178,9,1,8
4198696000004655285,2,2,0
4198696000004715021,10,4,6
4198696000004629542,101,1,100
4198696000004629731,50,1,49
4198696000004850350,2,2,0
4198696000004882390,2,2,0
4198696000004882878,2,2,0
4198696000004882756,5,5,0
4198696000004950268,2,2,0
4198696000004970397,8,6,2
4198696000005012843,2,1,1
4198696000005037844,1,1,0
4198696000005094137,8,8,0
4198696000005279598,1,1,0
4198696000005385176,73,52,21
4198696000005531208,14,10,4
4198696000005387836,6,2,4
4198696000005556071,1,1,0
4198696000005639563,4,1,3
4198696000005728164,8,4,4
4198696000005766046,6,5,1
4198696000005905681,2,2,0
4198696000006040065,3,1,2
4198696000006085036,4,4,0
4198696000001406714,3,2,1
4198696000006361358,2,2,0
4198696000006422241,2,2,0
4198696000006449143,10,8,2
4198696000006532720,2,1,1
4198696000006545412,15,5,10
4198696000006545525,33,25,8
4198696000006687902,1,1,0
4198696000006818076,1,1,0
4198696000006945001,16,14,2
4198696000006998045,1,1,0
4198696000007279735,6,2,4
4198696000007365125,1,1,0
4198696000007454737,16,16,0
4198696000006904424,4,1,3
4198696000007570105,10,7,3
4198696000007542122,33,23,10
4198696000007542003,10,8,2
4198696000007752310,2,2,0
4198696000007898600,4,3,1
4198696000007898288,1,1,0
4198696000008096229,3,3,0
4198696000008128113,1,1,0
4198696000008140069,1,1,0
4198696000008329043,1,1,0
4198696000008457314,9,6,3
4198696000008656077,9,3,6
4198696000008713506,2,2,0
4198696000008899941,6,6,0
4198696000007812587,50,1,49
4198696000009029782,2,2,0
4198696000009033285,1,1,0
4198696000009249070,6,6,0
4198696000009259775,2,2,0
4198696000009409455,1,1,0
4198696000009409473,2,2,0
4198696000009449271,4,3,1
4198696000009449571,2,1,1
4198696000009503261,2,2,0
4198696000009452705,2,2,0
4198696000009282001,1,1,0
4198696000009719333,1,1,0
4198696000009719099,3,3,0
4198696000009577271,9,3,6
4198696000009774246,3,1,2
4198696000009969074,1,1,0
4198696000009959172,12,6,6
4198696000010251972,1,1,0
4198696000010348100,6,4,2
4198696000010559526,1,1,0
4198696000010617359,2,2,0
4198696000010698226,4,4,0
4198696000010700880,10,7,3
4198696000010775320,1,1,0
4198696000010805382,100,3,97
4198696000010805409,100,1,99
4198696000010867132,2,2,0
4198696000010915082,2,2,0
4198696000011159080,1,1,0
