s.Product_ID,s.Month_Year,s.Total_Quantity,s.Net_Sales,itf.Available_Stock,itf.Cost_Fallback,lp.Last_Purchase_Price,Stock_On_Hand
4198696000018177953,2025-02,2,19539.82,2,"CRC 7,846.73",7846.73,2
4198696000000844309,2024-07,2,4601.77,0,"CRC 1,900.00",1900,0
4198696000003159133,2024-07,1,3274.34,3,"CRC 2,690.00",2475,3
4198696000001663046,2024-07,1,7610.62,0,"CRC 5,600.00",9000,0
4198696000007811372,2025-03,5,6194.69,459,CRC 590.00,390.5,459
4198696000000864874,2025-08,1,7083.19,6,"CRC 5,694.84",5694.84,6
4198696000029035040,2025-08,1,10340.71,0,"CRC 8,000.00",8000,0
4198696000010596306,2025-03,2,29203.54,4,"CRC 11,950.00",11950,4
4198696000000144532,2025-05,2,23893.81,94,"CRC 7,300.00",4620,94
4198696000000588340,2025-08,1,1709.73,68,"CRC 1,500.00",1499.3000000000002,68
4198696000029801551,2025-09,1,21681.42,1,"CRC 15,575.00",17086.65,1
4198696000000678016,2024-01,1,3716.81,0,"CRC 2,904.83",2904.83,0
4198696000000602419,2024-09,4,10265.49,332,"CRC 2,373.00",2562.15,332
4198696000004421160,2024-10,2,19051.33,91,"CRC 5,733.00",4042.5,91
4198696000012723954,2024-11,1,22123.89,0,"CRC 12,330.00",15270,0
4198696000000137296,2024-05,1,22123.89,20,"CRC 8,426.88",6583.5,20
4198696000000140581,2024-08,2,3185.84,79,CRC 570.24,445.5,79
4198696000004417943,2024-09,1,22389.38,314,"CRC 14,000.00",9185,314
4198696000018863075,2025-02,1,32240.71,0,"CRC 25,900.00",25900,0
4198696000007812173,2025-03,1,8548.67,33,"CRC 4,000.00",2447.5,33
4198696000002572977,2025-04,1,94513.27,1,"CRC 70,000.00",70000,1
4198696000000862930,2025-04,1,20191.15,4,"CRC 16,241.99",16241.99,4
4198696000019667217,2025-05,2,27911.5,1,"CRC 10,868.00",12847.2,1
4198696000000864955,2025-06,1,8761.06,4,"CRC 5,920.00",6447.5599999999995,4
4198696000021997091,2025-07,1,110619.47,0,"CRC 73,042.51",73042.51,0
4198696000001406903,2025-08,1,1769.91,3,"CRC 1,300.00",1300,3
4198696000000844228,2025-09,1,973.45,27,CRC 885.00,920,27
4198696000004421421,2025-10,2,11769.91,198,"CRC 3,471.00",2447.5,198
4198696000000588340,2024-04,1,1858.41,68,"CRC 1,500.00",1499.3000000000002,68
4198696000000862903,2024-05,1,8053.1,8,"CRC 7,182.00",7182,8
4198696000001611674,2024-10,2,34690.27,4,"CRC 12,820.20",12820.2,4
4198696000000679672,2024-11,1,2566.37,0,"CRC 2,118.34",2118.34,0
4198696000003594538,2024-11,4,9203.54,27,"CRC 1,413.00",1500,27
4198696000000137764,2025-01,1,4601.77,48,"CRC 1,999.36",1562,48
4198696000000137125,2025-02,1,19469.03,19,"CRC 7,000.00",4812.5,19
4198696000001613411,2024-07,1,11858.41,5,"CRC 8,730.53",8730.53,5
4198696000020072171,2025-03,1,64807.08,0,"CRC 52,144.20",52144.2,0
4198696000006777849,2025-04,1,47699.12,0,"CRC 31,217.64",31217.64,0
4198696000023573120,2025-05,1,18938.05,0,"CRC 12,468.12",12468.12,0
4198696000010936677,2025-07,2,11681.42,8,"CRC 4,266.00",4266,8
4198696000000588340,2025-09,1,1709.73,68,"CRC 1,500.00",1499.3000000000002,68
4198696000022901746,2025-09,1,11061.95,0,"CRC 7,500.00",7500,0
4198696000006603002,2025-09,1,13274.34,9,"CRC 9,600.00",9600,9
4198696000000137125,2025-10,1,16814.16,19,"CRC 7,000.00",4812.5,19
4198696000000836985,2023-12,1,2212.39,38,"CRC 1,800.00",2300,38
4198696000000677899,2024-02,1,1681.42,1,"CRC 1,339.45",1352.84,1
4198696000004015152,2024-03,4,50265.49,12,"CRC 9,307.50",10950,12
4198696000004546406,2024-04,1,7079.65,0,"CRC 5,239.19",5239.19,0
4198696000000139456,2024-10,1,26902.65,27,"CRC 13,643.52",10659,27
4198696000011274744,2024-11,1,7168.14,2,"CRC 5,290.00",5290,2
4198696000006945010,2025-01,2,2442.48,4,CRC 795.00,927,4
4198696000000602419,2025-02,1,2743.36,332,"CRC 2,373.00",2562.15,332
4198696000000588340,2024-05,1,1858.41,68,"CRC 1,500.00",1499.3000000000002,68
4198696000006380577,2024-06,1,11017.7,0,"CRC 10,000.00",10000,0
4198696000004417943,2024-08,1,22389.38,314,"CRC 14,000.00",9185,314
4198696000011909037,2025-04,1,1953.98,12,"CRC 1,450.00",1450,12
4198696000001612079,2025-04,2,26867.26,3,"CRC 10,770.93",10770.93,3
4198696000000861139,2025-06,1,7787.61,8,"CRC 5,738.26",5738.26,8
4198696000015464805,2025-08,1,63716.81,81,"CRC 40,100.00",25822.5,81
4198696000000602356,2024-08,2,29911.5,11,"CRC 11,324.54",11324.539999999999,11
4198696000000864460,2025-09,1,9557.52,3,"CRC 7,064.41",7064.41,3
4198696000000862966,2025-09,2,23610.62,3,"CRC 7,908.86",7908.860000000001,3
4198696000011047270,2025-10,2,15794.7,4,"CRC 5,276.00",5276,4
4198696000000143515,2025-10,1,12389.38,13,"CRC 6,000.00",3927,13
4198696000014232716,2025-10,2,17876.1,2,"CRC 5,500.00",5500,2
4198696000001969321,2025-04,1,4966.37,0,"CRC 3,989.96",4500,0
4198696000003159133,2024-03,1,3274.34,3,"CRC 2,690.00",2475,3
4198696000000844309,2024-04,1,2300.88,0,"CRC 1,900.00",1900,0
4198696000000862543,2024-04,1,10442.48,6,"CRC 7,722.16",7722.160000000001,6
